Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ESP32WROOM32D,1,ESP32-WROOM-32D,
"C1, C10, C2, C3, C5",0805,5,10uF,
"C11, C4, C8",0805,3,100nF,
"C12, C6",0805,2,0.1uF,
D1,0805,1,POWER_LED,
D2,D_SOD-123,1,D_Schottky,
D3,D_SOD-123,1,D,
D4,0805,1,ESP_LED,
D5,D_SOD-123,1,D_Small,
F1,1206,1,Polyfuse,
IC2,SOIC127P600X175-14N,1,"74HC14D,653",
J1,Barrel_Jack_5.5mmODx2.1mmID_PJ-202A,1,PJ-202A,
Q1,SOT65P230X110-6N,1,UMH3N,
Q3,SOT-223-3_TabPin2,1,PZT2222A,
"R1, R12",0805,2,2K,
R10,0805,1,5K6,
R11,0805,1,50,
"R2, R8, R9",0805,3,10K,
"R3, R4",0805,2,5.1K,
S2,FSM2JRT,1,RESET,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
USB1,HRO-TYPE-C-31-M-12,1,HRO-TYPE-C-31-M-12,
