Designator,Mid X,Mid Y,Rotation,Layer
ANT1,78.486,-71.882,0.0,top
C1,46.929,-101.981,180.0,top
C10,105.868,-88.803,270.0,top
C11,106.368,-85.753,180.0,top
C12,102.108,-69.53,270.0,top
C13,62.452882,-112.643837,90.0,top
C2,56.440305,-115.994183,180.0,top
C3,46.929,-90.551,180.0,top
C4,63.168,-68.653,90.0,top
C5,65.659,-68.641,270.0,top
C6,108.265,-73.66,180.0,top
C7,106.494434,-111.026071,270.0,top
C8,65.659,-72.705,270.0,top
D1,58.7525,-98.425,180.0,top
D4,64.6915,-82.169,180.0,top
D5,56.515,-106.427,270.0,top
D6,56.397271,-121.91333,0.0,top
F1,106.461285,-104.528799,270.0,top
IC2,102.362,-77.47,0.0,top
Q1,98.618,-87.303,0.0,top
Q2,90.191591,-104.192522,0.0,top
Q3,52.197,-70.764,90.0,top
R1,58.8245,-95.123,0.0,top
R10,50.7765,-76.708,0.0,top
R11,51.1575,-58.42,0.0,top
R12,64.6195,-77.851,0.0,top
R2,62.23,-72.6675,90.0,top
R3,112.055316,-104.695219,90.0,top
R4,111.951926,-84.411355,270.0,top
R8,106.807,-64.6195,90.0,top
R9,102.108,-64.6665,90.0,top
S2,78.968,-94.653,0.0,top
U1,49.632,-96.506,0.0,top
U2,49.632,-108.077,0.0,top
U3,100.318,-94.203,0.0,top
U4,99.952899,-104.565797,0.0,top
U5,67.487136,-119.134381,0.0,top
USB1,116.348,-94.633,90.0,top
